task_type,model_version,target,horizon_windows,horizon_minutes,split,dimension,slice_value,rows,positive_rows,sufficient_support,rmse,mae,mape_percent,r_squared,bias,residual_standard_deviation,residual_q10,residual_median,residual_q90,interval_coverage,mean_interval_width,task,accuracy,precision,recall,f1,roc_auc,pr_auc,prevalence,mean_confidence,mean_normalized_entropy,macro_precision,macro_recall,macro_f1
regression,classical_regression_v1,speed,1,30,test,weekday,Friday,4375,,True,3.7958894365,2.9144444183,10.1761615078,0.904409124,0.0274242974453,3.79579036858,-4.62041971707,-0.00912511203123,4.73568361384,0.882514285714,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday,Monday,3600,,True,4.2116924258,3.0566150393,10.4909905101,0.8812595831,0.0540400242829,4.21134571904,-4.50435687787,0.0946063812958,4.78616738057,0.872777777778,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday,Saturday,4775,,True,3.5781402948,2.631084515,6.7207750564,0.80038114,-0.0413724521479,3.57790110108,-4.15749648787,-0.185814041329,3.91746739715,0.925235602094,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday,Sunday,3600,,True,3.2470677321,2.5511756029,5.5985689859,0.7877761829,-0.32396160327,3.23086640648,-4.31596883794,-0.367638778194,3.6715448094,0.9325,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday,Thursday,3600,,True,4.0813987833,3.0956491532,12.1984925803,0.9150257814,0.119598253768,4.07964609816,-4.62556927913,0.219278820358,4.86651363742,0.869444444444,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday,Tuesday,3600,,True,3.600853009,2.7630839155,9.462464138,0.9137389824,0.0562172951552,3.600414144,-4.24314729709,0.0305660597967,4.4011754333,0.901944444444,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday,Wednesday,3600,,True,3.6180987274,2.779730101,9.059103164,0.9086740311,-0.1107410846,3.61640357447,-4.42536142399,-0.0414892405911,4.26990202354,0.896111111111,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday_type,weekday,18775,,True,3.8664042921,2.921596585,10.2732616783,0.905676051,0.0292300112014,3.86629380113,-4.49579160213,0.0524856507056,4.64457117958,0.884474034621,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weekday_type,weekend,8375,,True,3.4397355146,2.5967356095,6.2383939395,0.7990122943,-0.162843609645,3.43587868952,-4.22630496693,-0.259727477125,3.81108317904,0.928358208955,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,peak_status,evening_peak,3450,,True,4.7528091122,3.6550006839,15.385900874,0.8040025356,-0.0397387929412,4.75264297896,-5.76451980861,-0.0830090782072,5.86378109954,0.804057971014,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,peak_status,morning_peak,3375,,True,5.247531694,4.0395229975,21.4104433806,0.7567746287,0.0534499047299,5.24725947399,-6.31018105332,-0.108459488,6.62699163717,0.759703703704,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,peak_status,off_peak,20325,,True,3.2058638614,2.4776134877,5.8935022302,0.8259984087,-0.0422295873697,3.20558571242,-3.97512504119,-0.0554125091145,3.83749533658,0.93692496925,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weather_condition,Clear,20414,,True,3.7394760399,2.8140649321,8.93708229,0.898151744,-0.00420980344029,3.73947367023,-4.34178569897,-0.0448179248589,4.38997349638,0.900019594396,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weather_condition,Cloudy,4432,,True,3.6869257011,2.7991144343,9.3552523974,0.9088567699,-0.190718635286,3.68198961531,-4.54264905381,-0.225754179627,4.14473124357,0.897337545126,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weather_condition,Fog,166,,True,3.9748346313,3.0994777868,9.7405353376,0.8050793961,0.62254419589,3.9257800588,-3.93585589933,0.791079100581,5.50257943459,0.867469879518,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weather_condition,Overcast,970,,True,3.859458442,2.895159482,9.7547694192,0.8884620298,-0.343463044175,3.84414523693,-4.8749618312,-0.338294209465,4.11788559586,0.879381443299,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,weather_condition,Rain,1168,,True,3.8128330161,2.9330666998,8.6848506485,0.8404642741,0.296231990479,3.80130796126,-4.78856792193,0.536028261723,4.68558634539,0.885273972603,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,actual_congestion,Free-flow,16317,,True,2.9485643787,2.3092940859,4.6645326968,0.5085198602,-0.338469384217,2.9290732956,-4.02953812719,-0.307235949267,3.26624904586,0.955629098486,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,actual_congestion,Heavy,2676,,True,4.9321503801,3.9081368884,16.1871495033,-0.9278989608,0.072367669643,4.93161943913,-6.20526678581,0.0358018221969,6.42749726725,0.763826606876,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,actual_congestion,Moderate,6567,,True,4.0944342432,3.1060419758,8.7182109919,0.173342639,-0.336922484732,4.08054837135,-5.26507577874,-0.124615130596,4.2797942708,0.870108116339,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,actual_congestion,Severe,1590,,True,6.2802092954,5.0719075752,43.0481469094,-0.9706335517,4.23062719816,4.64142459863,-0.94793088622,4.189043023,9.89512187169,0.647798742138,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,overall,all,27150,,True,3.7229821969,2.8127505806,8.8385146432,0.8928018272,-0.0214766992039,3.72292025028,-4.4352300382,-0.0254346754468,4.34042793811,0.900036832413,11.7229842228,,,,,,,,,,,,,
